Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Cristian Javier","HOU",23.1,107.56643835616437,,,,104.09819819819819,,137.72551020408162,67.14999999999999,,112.81165311653116,93.11056910569104,97.90596205962058,"Cristian Javier",17606,664299
"Cal Quantrill","COL",21,62,79.36223776223775,88.97894736842106,126.9990566037736,,108.88387096774193,92.58076923076925,,,97.9535519125683,101.07568306010928,97.71939890710384,"Cal Quantrill",19312,615698
"Kyle Harrison","SFG",23,93.89521739130436,,,,137.41250000000002,84.088,79.67564102564103,,,90.94457478005866,103.70879765395895,97.67565982404693,"Kyle Harrison",27758,690986
"Reid Detmers","LAA",22.2,91.24863387978142,,,,113.24505494505493,86.50526315789475,106.79661016949153,,,97.62594594594594,97.82405405405406,97.57756756756758,"Reid Detmers",27468,672282
"Reynaldo López","ATL",18,91.97668711656442,,,,114.43913043478261,83.20645161290322,74.82857142857142,,,96.13308270676693,100.06654135338343,97.43533834586466,"Reynaldo Lopez",16400,625643
"Zack Littell","TBR",21,63.67183098591549,84.72298850574713,,86.89418604651163,95.37032520325202,,,,,80.20544959128067,103.43705722070843,97.32098092643051,"Zack Littell",15823,641793
"Griffin Canning","LAA",19,66.78571428571429,,,,109.07600000000001,79.10909090909091,95.13859649122806,,,84.0268,99.99359999999999,97.1824,"Griffin Canning",19867,656288
"Joe Musgrove","SDP",24.1,88.82716049382717,34.89666666666667,93.9421052631579,,143.39484536082475,140.13483146067415,132.34473684210528,,,113.92713567839198,94.88065326633168,97.11381909547735,"Joe Musgrove",12970,605397
"Michael Wacha","KCR",24,71.42156862745098,88.46875,80.53469387755102,,,68.67391304347827,110.31428571428572,,,86.49976905311779,102.36581986143186,97.08129330254043,"Michael Wacha",14078,608379
"Jesús Luzardo","MIA",20,104.98095238095237,94.58888888888889,,,95.23125,-48.3,86.85862068965517,,,97.946301369863,96.76410958904108,97.0654794520548,"Jesus Luzardo",19959,666200
"Andrew Abbott","CIN",23.1,81.38529411764705,,,,123.0476923076923,99.7209677419355,104.16885245901639,,,94.73903061224489,100.7359693877551,96.88265306122449,"Andrew Abbott",29911,671096
"Martín Pérez","PIT",24.2,68.82142857142857,76.40472440944882,67.31098901098902,,,63.14081632653061,82.96184210526314,,,73.36470588235294,101.66190476190475,96.52156862745099,"Martin Perez",6902,527048
"Jose Quintana","NYM",20.2,68.3140625,72.94343434343433,,,,107.79921875,83.49607843137255,,,81.90181818181817,99.28654545454545,96.11818181818182,"Jose Quintana",11423,500779
"Austin Gomber","COL",20,69.4748201438849,44,,,83.48481012658227,,94.31904761904762,72.165625,,78.5896174863388,101.96420765027321,95.72622950819671,"Austin Gomber",16561,596295
"Logan Allen","CLE",21.1,51.46768292682927,,80.25666666666667,,95.37433628318585,,106.76530612244898,,,72.500583090379,104.3862973760933,95.6734693877551,"Logan Allen",27589,671106
"Patrick Corbin","WSN",22.1,58.03333333333333,75.28279569892473,86.19062500000001,,81.60847457627119,,59.60000000000001,,,77.2848,102.85559999999998,95.49359999999999,"Patrick Corbin",9323,571578
"Lance Lynn","STL",20.2,86.20819672131147,67.56756756756756,87.42190476190476,,92.30714285714286,,61.66842105263157,,,81.61184971098265,100.3771676300578,94.8965317919075,"Lance Lynn",2520,458681
"Ryan Weathers","MIA",20,108.98364779874215,85.07272727272726,80.1,,116.23846153846155,,82.80823529411764,,,102.73691460055099,92.00192837465563,94.7,"Ryan Weathers",23796,677960
"Kyle Gibson","STL",19,76.0909090909091,76.28823529411765,93.71304347826087,,100.90625,88.84545454545454,87.45263157894736,,,88.06819787985866,98.90318021201412,94.64628975265016,"Kyle Gibson",10123,502043
"Michael Soroka","CHW",19.1,83.99186046511628,67.42244897959185,,,102.11134020618556,,104.84210526315789,,,87.90384615384615,91.78757396449706,91.90828402366866,"Michael Soroka",18383,647336
"Marcus Stroman","NYY",22.1,57.056521739130446,85.58846153846154,110.85416666666667,73.36585365853658,129.4185185185185,91.92272727272727,,,,91.75979643765903,92.28804071246819,91.83384223918574,"Marcus Stroman",13431,573186
"Dane Dunning","TEX",23,43.45217391304348,82.03692307692307,87.77547169811321,,102.72061855670103,47.38,87.98139534883721,,129.6,84.46566757493189,90.9534059945504,91.75694822888282,"Dane Dunning",19409,641540
"Bailey Falter","PIT",20,69.1908496732026,96.86923076923077,,48.8,93.10943396226415,66.22500000000001,,,,74.81211072664361,98.48615916955018,91.52560553633218,"Bailey Falter",20070,663559
"Brady Singer","KCR",23.1,71.67027027027028,64.04554455445545,,,98.36335877862595,,114.35555555555555,,,83.45256064690027,97.99730458221025,91.47628032345013,"Brady Singer",25377,663903
"J.P. France","HOU",20.1,92.02547169811321,74.38571428571427,68.37291666666667,,100.49285714285715,75.61791044776119,96.5375,,,83.87972972972975,90.00999999999999,90.1764864864865,"J.P. France",21212,641585
